id,uri,metadata
ImpactChatGPT-0000,,"{""name"":""崩潰與重建：ChatGPT衝擊下的人類未來"",""image"":""https://catastropheandreconstruction-book-nft.s3.amazonaws.com/nftcovers/IMG_6505.jpg"",""external_url"":""https://catastropheandreconstruction-book-nft.s3.amazonaws.com/%E5%B4%A9%E6%BD%B0%E8%88%87%E9%87%8D%E5%BB%BA%EF%BC%9AChatGPT%E8%A1%9D%E6%93%8A%E4%B8%8B%E7%9A%84%E4%BA%BA%E9%A1%9E%E6%9C%AA%E4%BE%86_%E6%8E%92%E7%89%88.pdf""}"
ImpactChatGPT-0001,,"{""name"":""崩潰與重建：ChatGPT衝擊下的人類未來"",""image"":""https://catastropheandreconstruction-book-nft.s3.amazonaws.com/nftcovers/IMG_6506.jpg"",""external_url"":""https://catastropheandreconstruction-book-nft.s3.amazonaws.com/%E5%B4%A9%E6%BD%B0%E8%88%87%E9%87%8D%E5%BB%BA%EF%BC%9AChatGPT%E8%A1%9D%E6%93%8A%E4%B8%8B%E7%9A%84%E4%BA%BA%E9%A1%9E%E6%9C%AA%E4%BE%86_%E6%8E%92%E7%89%88.pdf""}"
